Date/Time,Average Glucose level
Saturday 12am,123.08
Saturday 4am,163.25
Saturday 8am,60.42
Saturday 12pm,95.08
Saturday 4pm,128.0
Saturday 8pm,70.25
Sunday 12am,73.99
Sunday 4am,41.83
Sunday 8am,86.92
Sunday 12pm,149.17
Sunday 4pm,302.83
Sunday 8pm,268.67
Monday 12am,173.52
Monday 4am,143.33
Monday 8am,87.67
Monday 12pm,113.75
Monday 4pm,172.17
Monday 8pm,185.83
Tuesday 12am,169.98
Tuesday 4am,120.08
Tuesday 8am,65.0
Tuesday 12pm,69.57
Tuesday 4pm,99.93
Tuesday 8pm,130.3
Wednesday 12am,102.92
Wednesday 4am,40.0
Wednesday 8am,42.75
Wednesday 12pm,133.83
Wednesday 4pm,218.0
Wednesday 8pm,217.83
Thursday 12am,140.99
Thursday 4am,144.25
Thursday 8am,82.08
Thursday 12pm,152.75
Thursday 4pm,80.42
Thursday 8pm,254.42
Friday 12am,203.96
Friday 4am,103.33
Friday 8am,51.0
Friday 12pm,93.42
Friday 4pm,112.42
Friday 8pm,120.0
