Date/Time,Average Glucose level
Monday 12am,12.89
Monday 1am,10.06
Monday 2am,8.61
Monday 3am,11.22
Monday 4am,9.11
Monday 5am,10.94
Monday 6am,10.61
Monday 7am,10.61
Monday 8am,10.5
Monday 9am,10.5
Monday 10am,10.11
Monday 11am,10.5
Monday 12pm,10.39
Monday 1pm,8.61
Monday 2pm,9.5
Monday 3pm,9.28
Monday 4pm,7.56
Monday 5pm,7.17
Monday 6pm,6.72
Monday 7pm,6.61
Monday 8pm,10
Monday 9pm,8.56
Monday 10pm,10.44
Monday 11pm,11.67
Tuesday 12am,12.89
Tuesday 1am,6.39
Tuesday 2am,9.17
Tuesday 3am,8.5
Tuesday 4am,10.39
Tuesday 5am,10.94
Tuesday 6am,11.22
Tuesday 7am,10.83
Tuesday 8am,9.89
Tuesday 9am,8.78
Tuesday 10am,8.39
Tuesday 11am,8.11
Tuesday 12pm,8.5
Tuesday 1pm,7.39
Tuesday 2pm,7.5
Tuesday 3pm,13.28
Tuesday 4pm,15.39
Tuesday 5pm,11.78
Tuesday 6pm,9.22
Tuesday 7pm,7.67
Tuesday 8pm,7.94
Tuesday 9pm,11.83
Tuesday 10pm,13.72
Tuesday 11pm,10.67
Wednesday 12am,12.93
Wednesday 1am,13.91
Wednesday 2am,12.88
Wednesday 3am,10.85
Wednesday 4am,12.83
Wednesday 5am,12.8
Wednesday 6am,10.24
Wednesday 7am,12.75
Wednesday 8am,12.72
Wednesday 9am,11.69
Wednesday 10am,13.28
Wednesday 11am,15.39
Wednesday 12pm,11.78
Wednesday 1pm,9.22
Wednesday 2pm,7.67
Wednesday 3pm,7.94
Wednesday 4pm,11.83
Wednesday 5pm,13.72
Wednesday 6pm,10.67
Wednesday 7pm,12.43
Wednesday 8pm,12.4
Wednesday 9pm,12.38
Wednesday 10pm,10.94
Wednesday 11pm,11.22
Thursday 12am,10.83
Thursday 1am,9.89
Thursday 2am,8.78
Thursday 3am,8.39
Thursday 4am,12.19
Thursday 5am,12.17
Thursday 6am,11.67
Thursday 7am,13.91
Thursday 8am,12.88
Thursday 9am,8.76
Thursday 10am,12.03
Thursday 11am,12.01
Thursday 12pm,9.54
Thursday 1pm,11.95
Thursday 2pm,7.99
Thursday 3pm,11.9
Thursday 4pm,11.87
Thursday 5pm,11.85
Thursday 6pm,11.82
Thursday 7pm,11.8
Thursday 8pm,10.75
Thursday 9pm,11.74
Thursday 10pm,11.72
Thursday 11pm,11.69
Friday 12am,9.28
Friday 1am,9.67
Friday 2am,10.67
Friday 3am,10.28
Friday 4am,9.72
Friday 5am,9.61
Friday 6am,9
Friday 7am,8.83
Friday 8am,10.11
Friday 9am,13.5
Friday 10am,9.44
Friday 11am,8.61
Friday 12pm,8.17
Friday 1pm,7.5
Friday 2pm,6.17
Friday 3pm,5.28
Friday 4pm,8.67
Friday 5pm,7.89
Friday 6pm,7.61
Friday 7pm,8.17
Friday 8pm,10.61
Friday 9pm,11.11
Friday 10pm,12
Friday 11pm,12.06
Saturday 12am,13.72
Saturday 1am,10.61
Saturday 2am,11.33
Saturday 3am,10.44
Saturday 4am,9.78
Saturday 5am,9.11
Saturday 6am,8.61
Saturday 7am,7.94
Saturday 8am,9.22
Saturday 9am,10.56
Saturday 10am,6.72
Saturday 11am,6.94
Saturday 12pm,6.17
Saturday 1pm,6.56
Saturday 2pm,7.39
Saturday 3pm,8.17
Saturday 4pm,13
Saturday 5pm,11.33
Saturday 6pm,10.56
Saturday 7pm,9.56
Saturday 8pm,11.28
Saturday 9pm,10.72
Saturday 10pm,8.06
Saturday 11pm,7.11
Sunday 12am,13.22
Sunday 1am,10.06
Sunday 2am,8.61
Sunday 3am,11.22
Sunday 4am,10.89
Sunday 5am,10.33
Sunday 6am,10.17
Sunday 7am,9.89
Sunday 8am,11.33
Sunday 9am,14.78
Sunday 10am,8.06
Sunday 11am,9.94
Sunday 12pm,5.72
Sunday 1pm,11.39
Sunday 2pm,9.33
Sunday 3pm,8
Sunday 4pm,9.56
Sunday 5pm,9.06
Sunday 6pm,7.17
Sunday 7pm,7.56
Sunday 8pm,9.06
Sunday 9pm,9.89
Sunday 10pm,7.17
Sunday 11pm,6.56
