Date/Time,Average Glucose level
Saturday 12am,123.08
Saturday 6am,119.5
Saturday 12pm,95.08
Saturday 6pm,117.5
Sunday 12am,73.99
Sunday 6am,64.75
Sunday 12pm,149.17
Sunday 6pm,312.58
Monday 12am,173.52
Monday 6am,116.42
Monday 12pm,113.75
Monday 6pm,167.58
Tuesday 12am,169.98
Tuesday 6am,92.42
Tuesday 12pm,69.57
Tuesday 6pm,115.12
Wednesday 12am,102.92
Wednesday 6am,40.0
Wednesday 12pm,133.83
Wednesday 6pm,208.17
Thursday 12am,140.99
Thursday 6am,119.75
Thursday 12pm,152.75
Thursday 6pm,144.83
Friday 12am,203.96
Friday 6am,68.75
Friday 12pm,93.42
Friday 6pm,64.75
