Date/Time,Average Glucose level
Sunday 12am,69.75
Sunday 6am,159.42
Sunday 12pm,150.75
Sunday 6pm,161.5
Monday 12am,311.92
Monday 6am,118.0
Monday 12pm,120.67
Monday 6pm,139.75
Tuesday 12am,189.28
Tuesday 6am,49.75
Tuesday 12pm,201.42
Tuesday 6pm,59.42
Wednesday 12am,87.21
Wednesday 6am,49.58
Wednesday 12pm,232.08
Wednesday 6pm,79.75
Thursday 12am,131.83
Thursday 6am,40.0
Thursday 12pm,182.25
Thursday 6pm,97.5
Friday 12am,92.25
Friday 6am,45.08
Friday 12pm,151.33
Friday 6pm,84.92
Saturday 12am,260.17
Saturday 6am,81.42
Saturday 12pm,58.58
Saturday 6pm,129.33
